"","turnover00A","turnover01A","turnover10A","turnover11A","eps00A","eps01A","eps10A","eps11A","q00A_01A","q00A_10A","q00A_11A","q01A_00A","q01A_10A","q01A_11A","q10A_00A","q10A_01A","q10A_11A","q11A_00A","q11A_01A","q11A_10A","q00A_00B","q01A_01B","q10A_10B","q11A_11B","turnover00B","turnover01B","turnover10B","turnover11B","eps00B","eps01B","eps10B","eps11B","q00B_01B","q00B_10B","q00B_11B","q01B_00B","q01B_10B","q01B_11B","q10B_00B","q10B_01B","q10B_11B","q11B_00B","q11B_01B","q11B_10B","q00B_00A","q01B_01A","q10B_10A","q11B_11A","psi"
"1",1,1,7,1,2,2,7,2,4,7,7,3,7,6,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"2",1,1,9,1,2,3,9,4,6,9,9,5,9,8,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"3",1,2,9,3,4,4,9,4,6,9,9,5,9,8,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"4",1,2,11,3,4,5,11,6,8,11,11,7,11,10,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"5",1,1,8,1,2,2,8,2,4,8,8,3,8,6,8,8,8,8,5,8,7,7,7,7,1,1,8,1,2,2,8,2,4,8,8,3,8,6,8,8,8,8,5,8,7,7,7,7,8
"6",1,1,10,1,2,3,10,4,6,10,10,5,10,8,10,10,10,10,7,10,9,9,9,9,1,1,10,1,2,3,10,4,6,10,10,5,10,8,10,10,10,10,7,10,9,9,9,9,10
"7",1,1,9,1,2,2,9,2,5,9,9,4,9,7,9,9,9,9,6,9,8,8,8,8,1,1,9,1,3,3,9,3,5,9,9,4,9,7,9,9,9,9,6,9,8,8,8,8,9
"8",1,1,13,1,2,3,13,4,9,13,13,8,13,11,13,13,13,13,10,13,12,12,12,12,1,1,13,1,5,6,13,7,9,13,13,8,13,11,13,13,13,13,10,13,12,12,12,12,13
"9",1,2,10,3,4,4,10,4,6,10,10,5,10,8,10,10,10,10,7,10,9,9,9,9,1,2,10,3,4,4,10,4,6,10,10,5,10,8,10,10,10,10,7,10,9,9,9,9,10
"10",1,2,12,3,4,5,12,6,8,12,12,7,12,10,12,12,12,12,9,12,11,11,11,11,1,2,12,3,4,5,12,6,8,12,12,7,12,10,12,12,12,12,9,12,11,11,11,11,12
