"species","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","area_open","area_closed"
"Allium ursinum L.",0.9,0.1,"closed","closed","closed",0,1
"Allium victorialis L.",0.89,0.11,"closed","closed","closed",0,1
"Allium sphaerocephalon L.",0.57,0.43,"closed","open","closed",1,1
"Allium L.",0.57,0.43,"closed","open","closed",1,1
"Allium flavum L.",0.62,0.38,"closed","closed","closed",1,1
"Allium oleraceum L.",0.87,0.13,"closed","closed","closed",0,1
"Allium lusitanicum Lam.",0.88,0.12,"closed","closed","closed",0,1
"Allium schoenoprasum L.",0.76,0.24,"closed","closed","closed",0,1
"Allium angulosum L.",0.77,0.23,"closed","closed","closed",0,1
"Allium triquetrum L.",0.62,0.38,"closed","closed","closed",1,1
"Allium pendulinum Ten.",0.19,0.81,"open","open","open",1,0
"Allium narcissiflorum Vill.",0.61,0.39,"closed","closed","closed",1,1
"Allium chamaemoly L.",0.02,0.98,"open","open","open",1,0
"Allium vineale L.",0.79,0.21,"closed","closed","closed",0,1
"Allium scorodoprasum L.",0.92,0.08,"closed","closed","closed",0,1
"Allium subhirsutum L.",0.28,0.72,"open","open","open",1,1
"Allium carinatum L.",0.93,0.07,"closed","closed","closed",0,1
"Allium sativum L.",0.69,0.31,"closed","closed","closed",1,1
"Allium ericetorum Thore",0.86,0.14,"closed","closed","closed",0,1
"Allium roseum L.",0.37,0.63,"open","open","open",1,1
"Allium paniculatum L.",0.36,0.64,"open","open","open",1,1
"Allium ampeloprasum L.",0.47,0.53,"open","open","closed",1,1
"Allium cepa L.",0.61,0.39,"closed","closed","closed",1,1
"Allium paradoxum (M.Bieb.) G.Don",0.96,0.04,"closed","closed","closed",0,1
"Allium munzii (Ownbey & Aase ex Traub) McNeal",0.11,0.89,"open","open","open",1,0
"Allium neapolitanum Cirillo",0.3,0.7,"open","open","open",1,1
"Allium falcifolium Hook. & Arn.",0.64,0.36,"closed","closed","closed",1,1
"Allium fimbriatum var. fimbriatum",0.03,0.98,"open","open","open",1,0
"Allium haematochiton S.Watson",0.04,0.96,"open","open","open",1,0
"Allium burlewii Davidson",0.1,0.9,"open","open","open",1,0
"Allium diabolense (Ownbey & Aase ex Traub) McNeal",0.08,0.92,"open","open","open",1,0
"Allium praecox Brandegee",0,1,"open","open","open",1,0
"Allium peninsulare Lemmon ex Greene",0.14,0.86,"open","open","open",1,0
"Allium validum S.Watson",0.86,0.14,"closed","closed","closed",0,1
"Allium campanulatum S.Watson",0.64,0.36,"closed","closed","closed",1,1
"Allium crispum Greene",0.11,0.89,"open","open","open",1,0
"Allium cratericola Eastw.",0.42,0.58,"open","open","closed",1,1
"Allium bisceptrum S.Watson",0.39,0.61,"open","open","open",1,1
"Allium parryi S.Watson",0.19,0.81,"open","open","open",1,0
"Allium hickmanii Eastw.",0,1,"open","open","open",1,0
"Allium peninsulare var. peninsulare",0.08,0.92,"open","open","open",1,0
"Allium stellatum Nutt. ex Ker Gawl.",0.42,0.58,"open","open","closed",1,1
"Allium atrorubens var. cristatum (S.Watson) McNeal",0.21,0.79,"open","open","open",1,0
"Allium platycaule S.Watson",0.81,0.19,"closed","closed","closed",0,1
"Allium amplectens Torr.",0.6,0.4,"closed","closed","closed",1,1
"Allium tuolumnense (Ownbey & Aase ex Traub) S.S.Denison & McNeal",0,1,"open","open","open",1,0
"Allium howellii var. howellii",0.08,0.92,"open","open","open",1,0
"Allium unifolium Kellogg",0.54,0.46,"closed","open","closed",1,1
"Allium lacunosum S.Watson",0.05,0.95,"open","open","open",1,0
"Allium hyalinum Curran",0.14,0.86,"open","open","open",1,0
"Allium parishii S.Watson",0.03,0.97,"open","open","open",1,0
"Allium cernuum Roth",0.76,0.24,"closed","closed","closed",0,1
"Allium dichlamydeum Greene",0.47,0.53,"open","open","closed",1,1
"Allium monticola Davidson",0,1,"open","open","open",1,0
"Allium siskiyouense Ownbey ex Traub",0.93,0.07,"closed","closed","closed",0,1
"Allium abramsii (Ownbey & Aase ex Traub) McNeal",0.53,0.47,"closed","open","closed",1,1
"Allium sanbornii Alph.Wood",0.53,0.47,"closed","open","closed",1,1
"Allium fimbriatum S.Watson",0.05,0.95,"open","open","open",1,0
"Allium sharsmithiae (Ownbey & Aase ex Traub) McNeal",0.29,0.71,"open","open","open",1,1
"Allium aaseae Ownbey",0.29,0.71,"open","open","open",1,1
"Allium bolanderi S.Watson",0.65,0.35,"closed","closed","closed",1,1
"Allium acuminatum Hook.",0.47,0.53,"open","open","closed",1,1
"Allium anceps Kellogg",0.17,0.83,"open","open","open",1,0
"Allium parvum Kellogg",0.41,0.59,"open","open","closed",1,1
"Allium bolanderi var. bolanderi",0.67,0.33,"closed","closed","closed",1,1
"Allium tricoccum Aiton",0.85,0.15,"closed","closed","closed",0,1
"Allium canadense L.",0.7,0.3,"closed","closed","closed",1,1
"Allium macropetalum Rydb.",0.15,0.85,"open","open","open",1,0
"Allium giganteum Regel",0.72,0.28,"closed","closed","closed",1,1
"Allium circinnatum Sieber",0,1,"open","open","open",1,0
"Allium macrostemon Bunge",0.95,0.05,"closed","closed","closed",0,1
"Allium geyeri S.Watson",0.66,0.34,"closed","closed","closed",1,1
"Allium ascalonicum L.",0.6,0.4,"closed","closed","closed",1,1
"Allium cyaneum Regel",0.44,0.56,"open","open","closed",1,1
"Allium mairei H.Lév.",0.91,0.09,"closed","closed","closed",0,1
"Allium moly L.",0.85,0.15,"closed","closed","closed",0,1
"Allium lineare L.",0.39,0.61,"open","open","open",1,1
"Allium suaveolens Jacq.",0.93,0.07,"closed","closed","closed",0,1
"Allium senescens L.",0.58,0.42,"closed","open","closed",1,1
"Allium monanthum Maxim.",0.94,0.06,"closed","closed","closed",0,1
"Allium thunbergii G.Don",0.96,0.04,"closed","closed","closed",0,1
"Allium sacculiferum Maxim.",0.83,0.17,"closed","closed","closed",0,1
"Allium tuberosum Rottler ex Spreng.",0.8,0.2,"closed","closed","closed",0,1
"Allium microdictyon Prokh.",0.77,0.23,"closed","closed","closed",0,1
"Allium taquetii H.Lév. & Vaniot",1,0,"closed","closed","closed",0,1
"Allium anisopodium Ledeb.",0.33,0.67,"open","open","open",1,1
"Allium pseudojaponicum Makino",1,0,"closed","closed","closed",0,1
