"genera","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","area_open","area_closed"
"Draba lactea Adams",0.13,0.87,"open","open","open",1,0
"Poa nemoralis L.",0.75,0.25,"closed","closed","closed",0,1
"Carex digitata L.",0.91,0.09,"closed","closed","closed",0,1
"Vincetoxicum hirundinaria Medik.",0.75,0.25,"closed","closed","closed",0,1
"Agrostis gigantea Roth",0.76,0.24,"closed","closed","closed",0,1
"Trisetum flavescens (L.) P.Beauv.",0.81,0.19,"closed","closed","closed",0,1
"Dactylis glomerata L.",0.7,0.3,"closed","closed","closed",1,1
"Melica nutans L.",0.83,0.17,"closed","closed","closed",0,1
"Carex spicata Huds.",0.89,0.11,"closed","closed","closed",0,1
"Cardamine flexuosa With.",0.82,0.18,"closed","closed","closed",0,1
"Alopecurus geniculatus L.",0.86,0.14,"closed","closed","closed",0,1
"Epilobium palustre L.",0.77,0.23,"closed","closed","closed",0,1
"Carex montana L.",0.95,0.05,"closed","closed","closed",0,1
"Carex flava L.",0.89,0.11,"closed","closed","closed",0,1
"Puccinellia distans (Jacq.) Parl.",0.82,0.18,"closed","closed","closed",0,1
"Chaenorhinum minus (L.) Lange",0.81,0.19,"closed","closed","closed",0,1
"Selinum carvifolia (L.) L.",0.99,0.01,"closed","closed","closed",0,1
"Carex pairae F.W.Schultz",0.8,0.2,"closed","closed","closed",0,1
"Carex vulpina L.",0.88,0.12,"closed","closed","closed",0,1
"Carex demissa Hornem.",0.8,0.2,"closed","closed","closed",0,1
"Agrostis stolonifera L.",0.72,0.28,"closed","closed","closed",1,1
"Pyrola minor L.",0.8,0.2,"closed","closed","closed",0,1
"Cardamine bulbifera (L.) Crantz",0.87,0.13,"closed","closed","closed",0,1
"Betula pendula Roth",0.84,0.16,"closed","closed","closed",0,1
"Betula platyphylla Sukaczev",0.75,0.25,"closed","closed","closed",0,1
"Betula neoalaskana Sarg.",0.69,0.31,"closed","closed","closed",1,1
"Betula platyphylla var. japonica (Miq.) H.Hara",0.98,0.02,"closed","closed","closed",0,1
"Betula pendula var. carelica (Merckl.) Hämet-Ahti",1,0,"closed","closed","closed",0,1
"Monotropa hypopitys L.",0.85,0.15,"closed","closed","closed",0,1
"Carex pilulifera L.",0.9,0.1,"closed","closed","closed",0,1
"Carex pallescens L.",0.88,0.12,"closed","closed","closed",0,1
"Agrostis capillaris L.",0.85,0.15,"closed","closed","closed",0,1
"Brachypodium sylvaticum (Huds.) P.Beauv.",0.72,0.28,"closed","closed","closed",1,1
"Leersia oryzoides (L.) Sw.",0.72,0.28,"closed","closed","closed",1,1
"Carex rotundata Wahlenb.",0.45,0.55,"open","open","closed",1,1
"Centropogon ferrugineus (L.f.) Gleason",0.89,0.11,"closed","closed","closed",0,1
"Pernettya prostrata (Cav.) DC.",0.79,0.21,"closed","closed","closed",0,1
"Miconia denticulata Naudin",0.92,0.08,"closed","closed","closed",0,1
"Miconia cataractae Triana",0.71,0.29,"closed","closed","closed",1,1
"Lupinus bogotensis Benth.",0.6,0.4,"closed","closed","closed",1,1
"Macleania rupestris (Kunth) A.C.Sm.",0.88,0.12,"closed","closed","closed",0,1
"Miconia chionophila Naudin",0.56,0.44,"closed","open","closed",1,1
"Begonia urticae L.fil.",0.89,0.11,"closed","closed","closed",0,1
"Arcytophyllum nitidum (Kunth) Schltdl.",0.71,0.29,"closed","closed","closed",1,1
"Miconia elaeoides Naudin",0.68,0.32,"closed","closed","closed",1,1
"Disterigma alaternoides (Kunth) Nied.",0.92,0.08,"closed","closed","closed",0,1
"Bucquetia glutinosa (L.fil.) DC.",0.77,0.23,"closed","closed","closed",0,1
"Saracha quitensis (Hook.) Miers",0.55,0.45,"closed","open","closed",1,1
"Salvia amethystina Sm.",0.58,0.42,"closed","open","closed",1,1
"Ceroxylon quindiuense (H.Karst.) H.Wendl.",1,0,"closed","closed","closed",0,1
"Axinaea macrophylla (Naudin) Triana",0.85,0.15,"closed","closed","closed",0,1
"Salvia carnea Kunth",0.94,0.06,"closed","closed","closed",0,1
"Salvia simulans Fernald",1,0,"closed","closed","closed",0,1
"Salvia myriantha Epling",1,0,"closed","closed","closed",0,1
"Miconia summa Cuatrec.",0.4,0.6,"open","open","closed",1,1
"Miconia salicifolia (Bonpl. ex Naudin) Naudin",0.57,0.43,"closed","open","closed",1,1
"Alloplectus hispidus (Kunth) Mart.",0.85,0.15,"closed","closed","closed",0,1
"Cavendishia bracteata (Ruiz & Pav. ex A.St.-Hil.) Hoerold",0.94,0.06,"closed","closed","closed",0,1
"Sphyrospermum cordifolium Benth.",0.98,0.02,"closed","closed","closed",0,1
"Albizia adianthifolia (Schumach.) W.Wight",0.52,0.48,"closed","open","closed",1,1
"Vachellia karroo (Hayne) Banfi & Galasso",0.24,0.76,"open","open","open",1,0
"Vachellia hockii (De Wild.) Seigler & Ebinger",0.26,0.74,"open","open","open",1,1
"Vachellia gerrardii (Benth.) P.J.H.Hurter",0.2,0.8,"open","open","open",1,0
"Senegalia eriocarpa Kyal. & Boatwr.",0,1,"open","open","open",1,0
"Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.",0,1,"open","open","open",1,0
"Albizia versicolor Welw. ex Oliv.",0.25,0.75,"open","open","open",1,0
"Albizia glaberrima (Schumach. & Thonn.) Benth.",0.42,0.58,"open","open","closed",1,1
"Albizia gillardinii G.C.C.Gilbert & Boutique",0,1,"open","open","open",1,0
"Albizia forbesii Benth.",0.59,0.41,"closed","open","closed",1,1
"Albizia petersiana (Bolle) Oliv.",0.32,0.68,"open","open","open",1,1
"Albizia tanganyicensis Baker f.",0,1,"open","open","open",1,0
